MarkerNum,Atlas_Number,Title,IndexName,Address,City,County,CountyId,Utm_Zone,Utm_East,Utm_North,Code,Year,Rthl,Htc,Loc_Desc,PrivateProperty,ConditionText,Size,MarkerText,HasFiles,HasImages,HasMapLocation
1813,5029001813,First Presbyterian Church of San Antonio,First Presbyterian Church of San Antonio,404 N. Alamo,San Antonio,Bexar,15,14,550044,3255478,eccesiastical buildings; churches; design and construction; Presbyterian denomination; Gothic Revial (Architectural style),1979,False,False,"409 4th St., San Antonio",False,In Situ,"27"" x 42""","In 1844 a Presbyterian, the Rev. John McCullough, and a Methodist, the Rev. John Wesley DeVilbiss, visited San Antonio and conducted the first Protestant worship service. The Board of Foreign Missions in 1846 sent the Rev. McCullough to San Antonio to organize this church. After two years the membership erected an adobe building on Commerce Street. It served as the first Protestant church house in the city. The fellowship declined in 1849, and in 1851 the Rev. Dr. Daniel Baker, founder of the Presbyterian Church in the Republic of Texas, and six members reorganized the congregation. The contract for a new church house was let in 1859, for construction on the northeast corner of Flores and Houston streets. With the beginning of the Civil War, the fellowship broke with the Presbyterian Church (USA) and building construction was halted. A storm in 1868 destroyed the adobe church building. The second house of worship was finally completed in 1879 under the leadership of the Rev. Dr. J. W. Neil. The Rev. Dr. Arthur Gray Jones led in the erection in 1910 of this Gothic Revival structure, designed by Atlee B. Ayres. In the 1920s, during the pastorate of the Rev. Dr. P.B. Hill, radio broadcasts of services began and the attached education building was completed. (1979)",False,False,True
1903,5029001903,James Nathaniel Fisk,"Fisk, James Nathaniel","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,551507,3254709,"Texas Revolution, Republic of Texas; military topics",1936,False,False,"Alamo Masonic Cemetery, E. Commerce St., San Antonio",False,In Situ,1936 Centennial Marker (gray granite),"Served in the Army of Texas March 6, 1836 to November 16 1837. Born in Swanton Vermont, September 4, 1815, Died April 15, 1876",False,False,True
1904,5029001904,Simona Smith Fisk,"Fisk, Simona Smith","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,551507,3254709,"pioneers; women, women's history topics",1936,False,False,"Alamo Mission Cemetery, E. Commcerce St., San Antonio",False,In Situ,1936 Texas Centennial grave marker,"Daughter of Erastus ""Deaf"" Smith and wife of James Nathaniel Fisk. Born in San Antonio October 28, 1829 - Died November 11, 1890 Erected by the State of Texas 1936",False,False,True
1939,5029001939,"John Salmon ""Rip"" Ford","Ford, John Salmon ""Rip""","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,552066,3254659,state official; rangers; military topics,1963,False,False,"In Confederate Cemetery, Loc. inside of City Cem. #4, at intersection of E. Commerce St. Jeb Stuart Way., San Antonio.",False,In Situ,pink granite,"Here Rests in Peace--John Salmon (""Rip"") Ford May 26, 1815- November 3, 1897. Native South Carolinan, Pioneer doctor and editor, Republic of Texas Congressman, twice state Senator, Jack Hay's adjutant in war with Mexico, fearless Ranger Captain in border and Indian campaigns, Confederate colonel, Mayor of Austin and Brownsville, member Constitutional Convention of 1875, superintendent State Deaf and Dumb School, charter member of Texas State Historical Association. As warmaker and as peacekeeper, he was steadfast and true to his motto: ""Ready, ay, ready!"" Erected by the State of Texas, 1963.",False,False,True
2014,5029002014,"Fort Sam Houston, 4th U.S. Army Headquarters Quadrangle","Fort Sam Houston, 4th U.S. Army Headquarters Quadrangle","1405 E Grayson St                                                                                                                                                                           ",San Antonio,Bexar,15,14,552095,3257342,buildings; World War II; forts; military topics,1964,True,False," Grayson Street Gate, quadrangle on New Braunfels Rd.; MARKER REPORTED MISSING 5/2011",False,Missing,Medallion Only,,False,True,True
2072,5029002072,T. C. Frost Wool Warehouse,,117 N. Main,San Antonio,Bexar,15,14,549092,3255033,"banks, bankers, banking topics; Business topics, general; markets, merchantiles",1990,False,False,"117 N. Main, San Antonio",False,,"18"" x 28""","A former Texas Ranger and confederate soldier, Thomas C. Frost (1833-1903) began wool commission business as part of his mercantile enterprise in the 1870s. He purchased wool from producers throughout the state and stored it in warehouses on this site until prices increased. His storage facilities enabled wool producers to avoid selling their crops when the market was low, thus building up the industry. Frost gradually began to act as a banker for his customers and eventually gave up his other businesses to create the Frost National Bank.",False,False,True
2073,5029002073,T. C. Frost and the Frost Bank,,114 W. Commerce St.,San Antonio,Bexar,15,14,549093,3255158,"banks, bankers, banking topics; Civil War; Business topics, general; banks, bankers, banking topics",1978,False,False,"114 W. Commerce St., San Antonio",False,,"27"" x 42""","Thomas Claiborne Frost (1833-1903) came to Texas from Alabama in 1855 to teach at Austin College, Huntsville. Admitted to the bar in 1856, he served as a Texas Ranger before setting up a law practice in Comanche County. He was a delegate to the Seccession Convention in 1861 and an officer in the Confederate Army. For a time after 1865, he ran freight business between San Antonio nd the Port of Indianola. In 1868 Frost entered a partnership with his brother John and M.L. Fitch in a mercantile company located at this site. In 1874 T.C. Frost became the sole owner of the operation, to which he added a warehousing and wool commission business. Because Frost was a trusted merchant with a strong safe, he served as banker for the conveince of his customers. Frost gradually phased out his mercantile and wool interests and developed the service into a general banking business. The bank acquired a national charter in 1899. Thornton, Wright and Co., formerly Traders National Bank, and Lockwood National Bank merged with Frost. In 1922 Frost National Bank erected this 12-story building on the original store site. The bank moved to larger facilities on West Houston Street in 1973.",False,False,True
2178,5029002178,German-English School,German-Gugush School,421 S. Alamo St.,San Antonio,Bexar,15,14,549742,3254448,educational topics,1962,True,False,"421 S.Alamo St., San Antonio",False,In Situ,Medallion Only,[no text--medallion only],False,False,True
2206,5029002206,Goliad Road,Goliad Road,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,555273,3249919,Spanish immigrants/immigration; roads,1968,False,False,"Tee #13 on Golf Course (at Pecan Valley Golf Course), Pecan Rd., San Antonio",False,In Situ,"18"" x 28""","Established about 1720 by Spain as ""El Camino Real a La Bahia del Espiritu Santo"" (""King's Highway to Goliad""). Served for 150 years as a major emigrant, military, and trade road. Became segment of the Chihuahua Road, which connected the Texas Gulf Coast and Mexico. Indians, soldiers from Spain, Mexico, the Republic of Texas, the United States and Confederacy used road for their campaigns. In this vicinity the Goliad Road crossed Salado Creek and paralleled the Gonzales Road in the approach to San Antonio. Its traffic diminished only after railroads came to Texas.",False,False,True
2287,5029002287,Carl Wilhelm August Groos House,"Groos, Carl Wilhelm August, House",335 King William St.,San Antonio,Bexar,15,14,549119,3253976,"youth organizations; houses, residential buildings; Victorian (architectural term); design and construction; Gothic Revial (Architectural style); German immigrants/immigration",1977,True,False,"335 King William St., San Antonio",False,In Situ,Medallion and Plate,"One of the founders of the Groos National Bank, Carl W. Goos (1830-1893) came to Texas from Germany in 1848. The Groos home designed by Alfred Giles, was built in 1880 by John H. Campmann. Porch detailing on the Victorian residence reveals Gothic Revival influence. Occupied until 1948 by descendants of Groos and his wife Hulda (Moureau), the limestone structure was acquired in 1957 by the San Antonio area council of Girl Scouts, Inc. Recorded Texas Historic Landmark --1977.",False,False,True
2333,5029002333,Halff House,Halff House,"623 E. Nueva St.                                                                                                                                 ",San Antonio,Bexar,15,14,549760,3254667,"Alsatian immigrants/immigration; houses, residential buildings; German immigrants/immigration; markets, merchantiles; Eastlake; Romanesque/Richardsonian Romanesque (Architectural style)",1966,True,False,"Hemisfair Park, NE side E. Nueva St. 400 feet SE of S. Alamo St.",False,In Situ,"27"" x 42""","Mayer Halff (1836-1905) immigrated to Texas from Lauterborg, Alsace Lorraine, France, in 1850. In partnership with his brother Solomon, he opened a mercantile business in Liberty and began a cattle ranching enterprise. They moved to San Antonio in 1864 and established M. Halff & Brother, a wholesale dry goods company. Their ranching interests grew to include over a million acres of land in Texas and other states, and they also beame interested in banking. Mayer Halff purchased land at this site in 1890, and three years later he and his wifre Rachel (Hart) had this house built for their family. Exhibiting Eastlake and Richardsonian Romanesque stylistic influences, the Victorian-Era house features a prominent round arch entry, two-story crenellated bay, two-story full-length side porch with Eastlake detailing. Originally built on Goliad Street, the house remained for construction of the Hemisfair facilities in the 1960s. The Halff family played an important role in the development of San Antonio and the Texas cattle industry. Many of their descendants, some of whom married into the pioneer Oppenheimer Family, still reside in the city.   Recorded Texas Historic Landmark - 1966",False,False,True
2335,5029002335,Italian American Community in San Antonio,Italian American Community in San Antonio,201-205 Piazza Italia,San Antonio,Bexar,15,14,548587,3255951,Italian immigrants/immigration; parks; Roman Catholic denomination,1992,False,False,"201-205 Plaza Italia, Columbus Park, San Antonio",False,In Situ,"27"" x 42""","Italian immigrants began arriving in San Antonio in the 1870s. By 1890 a number of families had established an Italian neighborhood northwest of downtown. In April of that year a small group gathered together in a fruit store at the corner of Commerce Street and Plaza de Armas to organize a benevolent association. They obtained a charter for the Christopher Columbus Italian Society on May 14, 1890. Meeting in a variety of locations, the society conducted a fund-raising campaign and in 1926 purchased property at the corner of Morales (now Piazza Italia) and Concho (now Columbus) Street. Part of the land was conveyed to the Catholic Diocese of San Antonio for the construction of San Francesco Di Paola Church, and the Christopher Columbus society hall was built next door the following year. Franklin Square was renamed Columbus Park in 1957, when the Christopher Columbus Italian Society dedicated a statue of the explorer during a special Columbus Day celebration. Descendants of the original Italian settlers continue to preserve their culture and heritage. They remain an integral part of the city's diverse population.",False,False,True
2338,5029002338,Captain Lee Hall,"Hall, Lee, Captain","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,551722,3254848,Spanish American War; sheriffs; law enforcement; rangers; military topics,1970,False,False,"Old National Cemetery, between Paso Hondo and Center St., San Antonio (Center Island S. of Flagpole)",False,In Situ,grave marker,"Captain Lee Hall (October 9, 1849-March 17, 1911) Heroic defender of honor of Texas and the United States. Born in Lexington, N.C., came to Texas in 1869. Gained national fame as Grayson County Marshal and Deputy Sheriff, 1871, 1876. Served with frontier battalion, Texas Rangers, 1876-1880, hunting such outlaws as Sam Bass, King Fisher, John Wesley Hardin, and feuding Taylor-Sutton gangs. In Spanish-American War (1898-1900), was cited for his gallant service in the Philippines. Recorded-1970.",False,False,True
2432,5029002432,Helotes,Helotes,"14464 Old Bandera Rd                                                                                                                                                                                    ",Helotes,Bexar,15,14,530030,3271988,cities and towns; cemetery,1992,False,False,"14464 Old Banders Rd., Helots",False,In Situ,"27"" x 42""","According to archeologists, human occupation of the Helotes area dates to about 7000 years before present, when small bands of Nomadic Indians who migrated seasonally in search of food and game camped in this vicinity. Early Texas pioneer John M. Ross acquired title to the land here in 1836, purchasing rights to a Republic of Texas land grant from Almazon Huston, Quartermaster General of the Republic of Texas Army. In 1852 Ross sold the property to Thomas Devine and Francis Giraud, who formed a partnership to survey to land and sell it in smaller plots. In 1858 Dr. George Frederick Marnoch purchased the land which later became the townsite of Helotes. The town of Helotes developed around the home and Mercantile Store of Arnold Gugger, who purchased property from Marnoch's heirs in 1880. Gugger became postmaster in 1888, and in 1908 sold his land to Bert Hielman, who opened the town's first dance hall. Many farms and cattle and sheep ranches were established in the area. Helotes became a popular stop for a cowboys driving cattle to auction in San Antonio. Many descendants of early settlers still live in the area. (1992)",False,False,True
2453,5029002453,O. Henry House,,702 Dolorosa,San Antonio,Bexar,15,14,548755,3255108,"houses, residential buildings; German immigrants/immigration; writers and poets",1964,True,False,corner of Laredo and Dolorosa Sts.,False,In Situ,Medallion and Plate,"Typical of the homes of early German settlers, this two-room dwelling was built by John Kush about 1855. It originally stood on south Presa Street. It was occupied in 1895-96 by William Sidney Porter, who gained national renown as the short story writer O. Henry. Here he issued a weekly humourous newspaper, ""The Rolling Stone"". In 1960 the structure was moved to this location by the Kush Family and the Lone Star Brewing Company.",False,False,True
2581,5029002581,Old Houston Road,Houston Road,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,553919,3254596,roads,1965,False,False,"Lincoln Park, 3000th Block E. Commerce, San Antonio",False,In Situ,"18"" x 28""","Near this site. Link from Old Spanish Texas to Austin Colony and ports of Houston, Galveston. Vital to freight and passenger travel. In early days, numerous streams were forded or swum. It was common for a carriage to overturn in a river, uncommon for no one to be injured. Adults often rode horseback. Sleds and wagons hauled children, baggage. The Buffalo Bayou, Brazos & Colorado Railroad, started in 1852, built to Alleyton by 1860, shortned the way to Houston. In the Civil War, 1861-65, used for armies, goods, cotton, from coast, east Texas and Louisiana.",False,False,True
2628,5029002628,Incarnate Word College,Incarnate Word College,4301 Broadway St.,San Antonio,Bexar,15,14,551876,3260159,educational topics; Roman Catholic denomination,1981,False,False,"4301 Broadway St., San Antonio",False,In Situ,"18"" x 28""","Noted for quality educational programs, this institution grew from a teaching charter granted in 1881 to the sisters of charity of the incarnate word. In 1893 a boarding and day school known as incarnate word academy was established. By 1909 a collegiate program ha developed from the Academy, and the first bachelor's degree was conferred in 1910. After 1921, the academy and the college became separate institutions. An important part of the educational endeavors of the sisters of charity of the incarnate word, the college has been located at this site since 1897.",False,False,True
2943,5029002943,Charles Frederick King,"King, Charles Frederick","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,551620,3254734,"Texas Revolution, Republic of Texas; military topics",1936,False,False,"City Cemetery no. 1, east Commerce St., San Antonio",False,In Situ,1936 Centennial Marker (gray granite),"Served in the Texas Army, 1836. Was Mayor of San Antonio, 1847-1849 and 1852-1853. Born in New Hampshire, January 17, 1811. Died in San Antonio, May 13, 1869.",False,False,True
2952,5029002952,Dr. Claudius E. R. King House,"King, Dr. Claudius E. R.",819 Augusta St.,San Antonio,Bexar,15,14,551013,3255605,"houses, residential buildings; Victorian (architectural term); design and construction; medical topics and health professionals; English immigrants/immigration",1973,True,False,"819 Augusta St., San Antonio",False,In Situ,Medallion and Plate,"Built by English-born physician C.E.R. King (1839-1919), who came to America in 1851; was a Confederate Army surgeon in Civil War (1861-65). He moved to San Antonio and in 1880 employed noted archtiect Alfred Giles (1853-1920), also an Englishman, to design house. In the native stone, Victorian structure, King had both home and office. Descendants resided here until 1929, when Junior League of San Antonio purchased it for use as a tea room and meeting place.",False,False,True
2972,5029002972,Otto Koehler House,"Koehler, Otto, House",310 W. Ashby Place,San Antonio,Bexar,15,14,548812,3257774,"government officials; houses, residential buildings; design and construction; German immigrants/immigration",1975,True,False,"310 W. Ashby Place, San Antonio",False,In Situ,Medallion and Plate,"Built in 1901 for German immigrant Otto Koehler (1855-1914), this home was among the first in this area. Koehler, president of the Pearl Brewing Company, employed local architect Carl Von Seutter to design the home. One of the most spectacular examples of turn-of-the century Eclecticism in San Antonio, with outbuildings and grounds intact, the Koehler home was bult by Jaco Wagner with landscape design by G.A. Schattenberg.",False,True,True
3006,5029003006,La Villita,La Villita,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549694,3254811,buildings,1962,True,False,"Villita Rd., San Antonio",False,In Situ,Medallion Only,N/A,False,False,True
3021,5029003021,Moses Lapham,"Lapham, Moses",US 90 access road,San Antonio,Bexar,15,14,537991,3253117,military topics,1936,False,False,"US 90 access road westbound, west of S. Callaghan Road and Leon Creek",False,In Situ,1936 Texas Centennial historical marker (gray granite),"Near here on October 20, 1838 Moses Lapham a veteran of San Jacinto, and three of his companions were killed by Indians, as were seven members of a rescue party on the following day Erected by the State of Texas 1936",False,False,True
3096,5029003096,Little Church of La Villita,Little Church of La Villita,508 La Villita,San Antonio,Bexar,15,14,549575,3254740,Methodist (Methodist Episcopal and United Methodist) denomination; eccesiastical buildings; Episcopal denomination; Gothic Revial (Architectural style); German immigrants/immigration; churches,1962,True,False,508 La Villita. Medallion reported missing Dec. 2005,False,Missing,Medallion and Plate,"In 1846, the Rev. J.W. De Vilbiss bought a Methodist Church site (across street) in this block. He set up a bell, to denote worship site, but did not build when lot title proved defective. In 1879, German Methodist erected this Gothic Revival Church. A workman called Olaf A Norwegian Sailor, carved pegs and hinged the lancetshaped casement windows. Episcopal diocese of West Texas bought church in 1895; City of San Antonio acquired title in 1945. Recorded Texas Historic Landmark--1962.",False,False,True
3109,5029003109,Lockhill School,Lockhill School,5050 De Zavala Rd.,San Antonio,Bexar,15,14,540353,3270751,educational buildings; educational topics,1968,False,False,"Locke Hill Elementary School, near entrance gate",False,In Situ,"14"" x 24""","One of Texas' oldest public schools; operated continuously since 1868. Named in honor of Wm. J. Locke, who donated land. Originally school was held in a supply depot (1 mi. SW). School was named ""Shavano"" for some years. The present structure was built in 1923. SUPPLEMENTAL PLATE: Marker, gate structures, and archway moved from earlier site (1 mi. SW) in 1985.",False,False,True
3255,5029003255,The Matamoros Road,Matamoros Road,"Ashley Rd.                                                                                                                                                                            ",San Antonio,Bexar,15,14,550399,3245124,roads; transportation; animals,1965,False,False,NE corner of Roosevelt and Ashley streets. Marker reported missing Sep. 2016.,False,Missing,"27"" x 42""","Near this site, used by Indians and the Spanish before 19th century Anglo-American settlement of Texas. Path of armies, missionaries and commerce. About 330 miles long, the route varied with seasons, depending on chances to water teams pulling wagons or carts. Driest stretch was from the Nueces to the Rio Grande. The trip from San Antonio to Matamoros took 6 to 8 weeks, even when delays did not occur. Bandits were an added danger. Slow-moving wagon trains attracted robbers on fast horses. Teamsters learned to hide money in bags of grain or potatoes. They would even bore holes in cart axles, put gold in, plug each hole, cover the spot with black grease. During the Civil War, this was main artery of the cotton road, lifeline of the Confederacy. Wisps of cotton thorned into mesquite trees marked its way. A 6-mule wagon would haul up to 12 bales of cotton. A solid-wheel Mexican cart drawn by 10 oxen hauled up to 16 balees. When teams grew exhausted, bales of cotton would be thrown off and hidden, so that the teamster might pick them up later. In extremely hot, dry weather, the way would be lined with discards. Returning wagons brought guns, ammunition, cloth and other goods so much needed by the Confederacy. (1965)",False,False,True
3262,5029003262,Site of Home (1850 to 1870) of Samuel Augustus Maverick,"Maverick, Samuel Augustus, Site of Home of",105 N. Alamo St.,San Antonio,Bexar,15,14,549092,3255033,military topics,1967,False,False,"105 N. Alamo St., San Antonio",False,In Situ,"27"" x 42""","A native of South Carolina; came to San Antonio in 1835; was guide for Ben Milam and other leaders in first attack on San Antonio by Texas Army, Dec. 1835. As Bexar delegate, Maverick signed Texas Declaration of Independence at Washington-on-Brazos, 1836. With Capt. Jack Hays' ""Minute Men,"" he helped make San Antonio safe from Comanche Indian attacks; also joined Hays' expedition which opened California road and claimed Rio Grande as Texas' western boundary. Twice Mayor of San Antonio; he was prisoner-of-war in Perote, Mex., for 7 months after Gen. Adrian Woll's capture of San Antonio in 1842. Was elected as Bexar representative to 7th Congress of Republic (1842) while still a prisoner at Perote. Member of committee which accepted surrender of U.S. troops and forts in Texas without bloodshed in Civil War, 1861. Was Chief Justice of Bexar County during War; served in Texas House, Senate afterwards. He married Mary Ann Adams of Tuscaloosa, Ala. They became parents of 9 children. His famous practice of letting his cattle run about unbranded gave English language the word ""maverick,"" meaning an independent person, as well as unbranded animal. Texas' Maverick County and town were named in his honor.   (1967)",False,False,True
3329,5029003329,Capt. Jose Antonio Menchaca,"Menchaca, Jose Antonio","1100 S. Colorado St.                                                                                                                                                                                    ",San Antonio,Bexar,15,14,547384,3254122,Texas Revolution; military topics; Hispanic topics,1936,False,False,"San Fernando Cemetery #1, NW section near Vera Cruz St. (Block 8-V-3)",False,In Situ,1936 Texas Centennial - grave marker (gray granite),"A veteran of San Jacinto. Born in San Antonio 1797. Died November 1, 1879. His wife Teresa Ramon Menchaca. Born in July, 1796. Died February 7, 1874.  Erected by the State of Texas 1936",False,False,True
3334,5029003334,Menger Hotel,Menger Hotel,204 Alamo Plaza,San Antonio,Bexar,15,14,549827,3255200,"inns, hotels, motels",1965,True,False,"Menger Hotel, 204 Alamo Plaza, San Antonio",False,In Situ,Medallion and Plate,"Early San Antonio boarding house keeper, Wm. Menger in 1859 opened fine stone hotel, the ""new"" Menger, beside Alamo Plaza. To host Indians, presidents, poets, actors, generals, singers, public of the world. Served venison, quail, mutton, beef, soup made of San Antonio River turtles. Bar's vintages had ice imported by Gulf steamers and expressed to San Antonio in special wagons. Theodore Roosevelt's Rough Riders were recruited here.",False,False,True
3336,5029003336,Menger Soap Works,Menger Soap Works,500 N. Santa Rosa,San Antonio,Bexar,15,14,548843,3255593,"buildings; manufacturing; factories, industrial buildings; German immigrants/immigration",1983,True,False,"500 N. Santa Rosa-backs to Martin St., San Antonio",False,In Situ,"16"" x 12""","Johann Nicholas Menger (1807-1892), a native of Germany, came to Texas with the Castro Colony and moved to San Antonio in 1847. In 1850 he started a factory that supplied soap for much of the city and southwest Texas. By 1873, Menger had built this limestone structure, an important example of an early industial building, to house his soap works. Utilizing the waters of San Pedro Creek, the factory operated until the early part of the twentieth century.",False,False,True
3370,5029003370,Benjamin Rush Milam,"Milam, Benjamin Rush","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,548566,3255262,"                                                  ",1936,False,False,"Park Loc at W. Commerce & San Saba & W. Houston & San Roza, San Antonio",False,In Situ,statue & monument,(Front) Benjamin Rush Milam (Right) Preeminent Hero of Texas a man of rare initiative and courage. Of a modest and willing personality a devoted friend. Born in Frankford Kentucky in 1788 a soldier in the War of 1812. (Back) Trader with the Texas Comanche Indians in 1818 was a Colonel in the long Tresplacious expedition in 1820. Texas Colonizer 1826 to 1835. First navigator of the upper Red River in 1831. (Left) Assisted in the capture of Goliad October ninth 1835. Planned the attack on San Antonio and was killed on December seveth 1835 while commanding the Texas Forces which later captured the town . (back) Elected by the State of Texas 1936 with funds appropriated by the Federal Government to commemorate one hundred years of Texas Independence.,False,False,True
3371,5029003371,Noted Texas Soldier Col. Edward Miles,"Miles, Edward","S. Palmetto Ave.                                                                                                                                                ",San Antonio,Bexar,15,14,551901,3254247,military topics; Texas Revolution; U.S.-Mexico War; Civil War,1964,False,False,"St. Mary's Catholic Cemetery, E side of S. Palmetto Avenue about 200 feet S. of Wyoming Street and 80 feet E of S. Palmetto Avenue, N side of the cemetery drive",False,In Situ,grave marker,"(Feb. 8, 1816 - Apr. 1, 1889) Came to Texas 1829. Served in battles of Anahuac and San Jacinto in Texas War for Independence and the Indian, Mexican and Civil Wars. Born Natchez, Miss. Married Mary Ann Sawyer, 1850. Prominent in civic and public affairs. Recorded, 1964.",False,False,True
3380,5029003380,Old Mill on the Pajalache Acequia,Mill on the Pajalache Acequia,105 Mission Road,San Antonio,Bexar,15,14,549695,3252259,"mills - textile, fiber, gristmills, cotton gins",1936,False,False,"In inside gates of Edmundo Yturri Property, 257 yellow stone San Antonio",False,In Situ,"18"" x 28""",This mill built before 1824 on the Pajalache Acequia furnished food to early settlers and served as a resting place for travelers and Texas Soldiers en route to Bexar from the Missions.,False,False,True
3411,5029003411,Mission San Francisco de la Espada (Mission St. Francis of the Sword),Mission San Francisco De La Espada (Mission St. Francis of the Sword),"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,553431,3243268,Spanish immigrants/immigration; missions; Roman Catholic denomination,1969,False,False,"Mission Drive, San Antonio",False,In Situ,"27"" x 42""","Established in San Antonio in 1731. May have been named for statue of St. Francis in the chapel which, according to tradition, once grapsed a sword. One of the few missions near which descenants of the Indian converts and spaniards still live, Espada is considered by some to date back to Mission San Francisco De Los Tejas, founded in East Texas in 1690. A succession moves eventually brought it here. The original buildings at Espada, the farthest south of the five missions near San Antonio, were undoubtly of adobe. A wall surrounded the church (usually called a chapel), friary, granary,and work shops. Extensive farms and pastures lay nearby. By 1745 the Indians produced grain and beans, and the missioned owned 1,150 head of cattle and 750 sheep. One of the few remaining early structures is the southeast bastion (fortified round tower), which is the only mission fort left intact in San Antonio. Its three-foot rock walls, which contain holes for cannons and muskets, support a vaulted roof. Composing Espada's once-vital waterworks are a dam (one mile north), an irriation ditch, and a fine aqueduct (near this site)--the only extant spanich aqueduct in the United States.",False,False,True
3412,5029003412,"Mission San Francisco de la Espada Dam, Ditch and Aqueduct","Mission San Francisco de la Espada Dam, Ditch and Aqueduct","10040 Espada Rd                                                                                                                                                                         ",San Antonio,Bexar,15,14,552255,3244958,missions; water topics,1969,True,False,Espada Road,False,In Situ,"27"" x 42""","Water was vital to the permanency of San Francisco de la Espada Mission, therefore Franciscan missionaries built a dam, irrigation ditch, and aqueduct. The 270 foot dam rose eight feet above a rock ledge crossing the San Antonio River, the lime salts of which gradually cemented gravel, rocks, and layers of brush which formed the dam, regarded as an engineering feat as it curved ""the wrong way"". Water transported by Espada ditch crossed Piedras Creek via this aqueduct on which construction continued from 1740 to 1745. According to tradition, goat's milk served as a cementing agent in the mortar used in Espada Aqueduct, the only such structure in the United States. Relative prosperity followed for a generation as this alluvial valley produced crops of maize, beans, melons, calabashes, sweet potatoes, and cotton, but deterioration had set in at Espada before the secularization of the mission in 1794, when only fifteen sick or aged Indians remained in the mission. Even so, dam, ditch, and aqueduct survived nearly a century of Indian attacks, ravaging floods, and controversy, both secular and clerical. The ditch had fallen into disuse for some fifteen years when, in 1895, the newly formed Espada Ditch Company repaired the dam, and enlarged the ditch while changing its course. When disaster again threatened to overtake this singular Spanish-American colonial irrigation project, in 1941 the San Antonio Conservation Society purchased this property to insure its preservation. Further assurance came in 1965, when the United States Department of Interior designated Espada Aqueduct as a Registered National Historic Landmark.",False,False,True
3414,5029003414,Mission San Franscico Xavier de Najera,Mission San Franscico Xavier de Najera,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549579,3250650,Spanish immigrants/immigration; missions; Roman Catholic denomination,1936,False,False,"By golf course mission rd. road, just beyond mission, San Antonio",False,In Situ,1936 Centennial Marker,"Established in 1722. Its Indian neophytes, few in number, passed into the care of the missionaries at San Antonio de Valero in 1726. The land was later granted to the Mission Nuestra Senora De la Purisima Conception De Acunia. Reestablished in this vicinity in 1731.",False,False,True
3415,5029003415,Mission San Jose,Mission San Jose,6701 San Jose Drive,San Antonio,Bexar,15,14,550363,3248223,Spanish immigrants/immigration; missions; Roman Catholic denomination,1962,True,False,"Mission San Jose,Mission Dr. San Antonio; MARKER REPORTED MISSING 6/2011",False,Missing,RTHL medallion,N/A--medallion only,False,False,True
3416,5029003416,Mission San Juan Capistrano,Mission San Juan Capistrano,9101 Graf Rd.,San Antonio,Bexar,15,14,522839,3244866,Period of Spanish governance; missions; Roman Catholic denomination,1967,False,False,"(San Juan Mission Parking lot) On mission Rd/Espada Rd., just S. of loop 13, San Antonio",False,In Situ,"27"" x 42""","Founded in March, 1731, by Franciscan missionaries on the banks of the San Antonio River; Named for St. John of Capistrano, who in 1456 lead a European religious crusade that saved the city of Belgrade from infidels. Mission San Juan was a successor to Mission San Jose De Los Nazonis, established in 1716 in east Texas. It moved here due to the difficulty of defense. One of a complex of missions, San Juan was devoted to the cultural and religious conversion of the Coahuiltecan-speaking Indians of south Texas. During the uncertain early years, buildings were constructed, crops planted, and the Indians had to be continually persuaded to stay long enough to reap the benefits of civilization. Apache raids, cholera and smallpox epidemics, and harassment by the civil authorities also plagued the missions constantly. By 1762, however, San Juan had surplus harvests of corn, cotton, beans, chili peppers, watermelons,and cantaloupes. It also owned numerous cattle, sheep, goats, and horses. The 203 resident Indians lived in thatched huts; the chapel and convent were of stone. The mission was secularized in 1794. In 1967, when the buildings were restored, many artifacts relating to the three centuries of occupancy were unearthed. (1967)",False,False,True
